DEDO        DE DO DA
CUECA       CU E CA
TIGRE       TI GRE TO
ABELHA      A BE LHA
MACACO      MA CA CO
TOMATE      TO MA TE
ÓCULOS      Ó CU LOS
CASA        CA CO SA
UNHA        U O NHA
VACA        VA VE CA
FOCA        FO FA CA
MESA        ME MA SA
CAVALO      CA LO VA
JUBA        JU BA UVA
PENA        PE NE NA
RATO        RA RU TO
MAÇÃ        MA MI ÇÃ
CHAVE       CHA VO VE
DOMINÓ      DO MI NÓ
TOALHA      TO A LHA
MATO        MA TO TU
TELEFONE    TE LE FO
AVIÃO       A VI ÃO
BANANA      BA NA NE
CADEIRA     CA DEI RA
XÍCARA      XÍ CA RA
BALEIA      BA LEI A
TATU        TA TU TO
TAPETE      TA PE TE
ANEL        A NEL LA
BATATA      BA TA TO
CAJU        CA JU JO
TESOURA     TE SOU RA
CEBOLA      CE BO LA
NOIVA       NO VA VI
UVA         U O VA
RAIO        RA TO IO
MACACO      MA CO CA
RATO        RA TO TA
CUTIA       CU TI A
JACARÉ      JA CA RÉ
JANELA      JA NE LA
BULE        BU LE LO
BALA        BA BO LA
REI         RE LO GI
