RELÓGIO, DEDO			            REDE, VACA, RATO
CUECA, TIGRE, ABELHA 	            CUTIA, UNHA, JUBA
MACACO, TOMATE 			            MATO, FOCA, MESA
UNHA, VACA 				            UVA, RATO, CUECA
FOCA, MESA				            FOME, PENA, CHAVE
CAVALO, JUBA 			            CAJU, PENA, TIGRE
PENA, RATO 				            PÊRA, PATO, CARRO
MAÇÃ, CHAVE, DOMINÓ 	            MACHADO, MACACO, CAVALO
TOALHA, MATO, TELEFONE	            TOMATE, TOMADA, PETECA
AVIÃO, BANANA, CADEIRA, XÍCARA      ABACAXI, ABACATE, SALADA
BALEIA, TATU, TAPETE                BATATA, BETERRABA, BOLACHA
ANEL, BATATA, CAJU, TESOURA         ABACATE, ABACAXI, ABÓBORA
CEBOLA, NOIVA, UVA, RAIO            CENOURA, CEBOLA, BANANA
MACACO, RATO, CUTIA, JACARÉ         MARACUJÁ, MANGA, MELANCIA
JANELA, BULE, TIGRE, CASA, BALA     JABUTICABA, HIPOPÓTAMO, JABUTI
